instnm,control,tuitionfee_in,tuitionfee_out,md_earn_wne_p10
Mississippi College,2,18026,18026,38300
Mississippi State University,1,8650,23250,40200
Saint Cloud State University,1,8265,16499,44200
The College of Saint Scholastica,2,37212,37212,51400
Kenrick Glennon Seminary,2,21590,21590,.
William Carey University,2,12600,12600,34700
Evangel University,2,23421,23421,35800
Cox College,2,11920,11920,42100
Calvary University,2,11164,11164,36800
Central Christian College of the Bible,2,13900,13900,29700
Missouri Valley College,2,20600,20600,34000
University of Missouri-Columbia,1,9972,27042,48300
Barnes-Jewish College Goldfarb School of Nursing,2,.,.,55600
Kansas City Art Institute,2,38400,38400,31200
York College,2,19310,19310,35400
Berkeley College-Woodland Park,3,25900,25900,39600
Palm Beach Atlantic University,2,31450,31450,40600
Webber International University,2,26116,26116,37200
Brenau University,2,29050,29050,42000
Columbus State University,1,6134,16920,35900
Stetson University,2,46030,46030,43200
Covenant College,2,34330,34330,41200
The Art Institute of Atlanta,3,17496,17496,30900
Oglethorpe University,2,38100,38100,42100
Savannah State University,1,5743,16204,31300
Spelman College,2,29064,29064,47000
Boise Bible College,2,12520,12520,29400
Georgia State University,1,9112,23971,43300
University of Georgia,1,11830,30404,50500
Herzing University-Atlanta,2,14000,14000,37800
DePaul University,2,39975,39975,53300
University of Chicago,2,58230,58230,68100
Governors State University,1,12196,21586,40800
National Louis University,2,10710,10710,44600
National University of Health Sciences,2,.,.,34600
Lakeview College of Nursing,2,.,.,61200
North Central College,2,38880,38880,47800
Jacksonville State University,1,8760,16536,35800
University of Alaska Anchorage,1,8580,24762,45400
South University-Montgomery,3,17014,17014,33400
Faulkner University,2,21690,21690,35400
University of Arizona,1,12467,36366,47300
California State University-Bakersfield,1,7309,19189,47800
California State Polytechnic University-Pomona,1,7353,19233,54000
California State University-Fresno,1,6587,18467,44700
California State University-Long Beach,1,6798,18678,48100
University of California-Irvine,1,13700,42692,58400
University of California-San Diego,1,14167,43159,59900
Humphreys University-Stockton and Modesto Campuses,2,14292,14292,28800
Otis College of Art and Design,2,46860,46860,44900
Samuel Merritt University,2,.,.,111100
University of San Diego,2,49358,49358,60000
University of Colorado Colorado Springs,1,8523,20067,43900
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,2,14700,14700,.
Colorado State University-Pueblo,1,10408,26329,37500
Paier College of Art Inc,3,17570,17570,31400
University of Connecticut,1,15730,38098,58400
University of Delaware,1,13680,34310,57000
Post University,3,16610,16610,40900
Goldey-Beacom College,2,24300,24300,44500
Quinnipiac University,2,47960,47960,63300
The Catholic University of America,2,45804,45804,56800
Southern Connecticut State University,1,10954,23464,45300
University of Central Florida,1,6368,22467,45400
George Washington University,2,55230,55230,69600
Georgetown University,2,54104,54104,93500
Florida Gulf Coast University,1,6118,25162,42100
Edward Waters College,2,13525,13525,25900
Embry-Riddle Aeronautical University-Daytona Beach,2,35814,35814,66200
Florida Agricultural and Mechanical University,1,5785,17725,37600
Trinity Washington University,2,24150,24150,38800
Western Connecticut State University,1,10859,23367,45200
Howard University,2,26756,26756,49200
Strayer University-District of Columbia,3,13380,13380,45900
Florida Atlantic University,1,4831,17276,43200
Capella University,3,14579,14579,63600
New Hampshire Institute of Art,2,28080,28080,25200
South Florida Bible College and Theological Seminary,2,6900,6900,.
University of South Florida-St Petersburg,1,5821,16736,43500
Denver College of Nursing,3,.,.,.
Aspen University,3,3920,3920,.
Taft University System,3,.,.,.
Providence Christian College,2,30370,30370,.
Polytechnic University of Puerto Rico-Orlando,2,12030,12030,29800
University of Minnesota-Rochester,1,13352,13352,51900
Chamberlain University-Florida,3,19375,19375,58400
Georgia Gwinnett College,1,5634,16348,.
Yeshivas Be'er Yitzchok,2,10900,10900,.
Bergin University of Canine Studies,2,.,.,.
Whitworth University-Adult Degree Programs,2,.,.,42100
Springfield College-Regional Online and Continuing Education,2,.,.,45100
Los Angeles Pacific University,2,10200,10200,51100
Millennia Atlantic University,3,11156,11156,.
Chamberlain University-Texas,3,19375,19375,58400
Columbia College of Nursing,2,.,.,.
New Saint Andrews College,2,12800,12800,.
Florida Institute of Technology-Online,2,.,.,56600
South University-Austin,3,17014,17014,33400
University of the West,2,12592,12592,.
Johnson & Wales University-Online,2,13365,13365,38800
Yeshiva Gedolah Kesser Torah,2,11300,11300,.
Augusta University,1,8604,23156,62300
South University-High Point,3,.,.,33400
DeVry College of New York,3,17950,17950,44100
Texas A&M University-Central Texas,1,.,.,.
DeVry University-Colorado,3,18023,18023,44100
DeVry University-Florida,3,17898,17898,44100
DeVry University-Indiana,3,17561,17561,44100
DeVry University-New Jersey,3,17619,17619,44100
DeVry University-Virginia,3,17759,17759,44100
University of North Georgia,1,4692,13514,41900
Pennsylvania State University-World Campus,1,13988,13988,50100
West Coast University-Dallas,3,26635,26635,54900
University of Florida-Online,1,3876,16580,56000
University of Phoenix-Arizona,3,9552,9552,47100
University of Phoenix-Colorado,3,.,.,47100
University of Phoenix-Louisiana,3,.,.,47100
University of Phoenix-Nevada,3,9552,9552,47100
University of Phoenix-North Carolina,3,.,.,47100
University of Phoenix-Texas,3,9552,9552,47100
University of Phoenix-Pennsylvania,3,.,.,47100
IGlobal University,3,13820,13820,.
Yeshiva Bais Aharon,2,9075,9075,.
Florida Polytechnic University,1,4940,4940,.
Westcliff University,3,8220,8220,.
National American University-Garden City,3,15000,15000,.
Bais Medrash Mayan Hatorah,2,10650,10650,.
East-West University,2,22050,22050,.
Yeshiva Shaar Ephraim,2,13675,13675,.
Reformed University,2,5360,5360,.
Radiological Technologies University VT,3,.,.,.
Southern States University,3,5409,5409,.
Chamberlain University-Louisiana,3,19375,19375,.
Champion Christian College,2,5240,5240,.
Texas Tech University Health Sciences Center-El Paso,1,.,.,.
Yeshiva Gedolah Tiferes Boruch,2,9850,9850,.
Yeshiva Gedolah of Cliffwood,2,7850,7850,.
Ottawa University-Surprise,2,27630,27630,.
University of Connecticut-Hartford Campus,1,13678,36046,.
Yeshiva Zichron Aryeh,2,8750,8750,.
Chamberlain University-New Jersey,3,19375,19375,.
Chamberlain University-California,3,19375,19375,.
Bet Medrash Gadol Ateret Torah,2,10050,10050,.
Beth Medrash Meor Yitzchok,2,9550,9550,.
Yeshiva Sholom Shachna,2,10750,10750,.
Indiana Wesleyan University-National & Global,2,9816,9816,.
Purdue University Global,1,14343,14343,.
Northwest University-College of Adult and Professional Studies,2,15600,15600,.
Fairfax University of America,2,10328,10328,.
The University of Tennessee Health Science Center,1,.,.,.
Kennesaw State University,1,6347,17329,.
Texas A&M University-San Antonio,1,8656,21159,.
California Intercontinental University,3,10565,10565,.
University of Arizona-Sierra Vista,1,.,.,.
Strayer University-North Carolina,3,13380,13380,45900
Horizon University,2,9300,9300,.
Bethel College,2,8420,8420,.
Strayer University-Georgia,3,13380,13380,45900
The Art Institute of Virginia Beach,3,17496,17496,30900
Strayer University-Texas,3,13380,13380,45900
West Coast University-Orange County,3,34835,34835,54900
West Coast University-Ontario,3,34835,34835,54900
South University-Richmond,3,17014,17014,33400
SUM Bible College and Theological Seminary,2,9964,9964,.
American Public University System,3,6880,6880,62400
Columbia Southern University,3,5535,5535,.
Trident University International,3,9240,9240,.
The Art Institute of Austin,3,17568,17568,34100
Chamberlain University-Ohio,3,19375,19375,58400
United States University,3,10800,10800,.
Ecclesia College,2,15140,15140,.
Nevada State College,1,5438,17458,.
Birthingway College of Midwifery,2,.,.,.
University of the Potomac-VA Campus,3,15804,15804,47600
Faith International University,2,7875,7875,.
Williamson Christian College,2,13525,13525,.
DigiPen Institute of Technology,3,31340,31340,80200
Strayer University-Tennessee,3,13380,13380,45900
Yeshiva Shaarei Torah of Rockland,2,12500,12500,.
Embry-Riddle Aeronautical University-Prescott,2,35654,35654,66200
Allegheny Wesleyan College,2,7000,7000,.
Atlantic Institute of Oriental Medicine,2,.,.,.
National American University-Ellsworth AFB Extension,3,6075,6075,34500
Bethesda University,2,8095,8095,.
World Mission University,2,6200,6200,.
Harrisburg University of Science and Technology,2,23900,23900,.
Careers Unlimited,3,.,.,.
Arizona State University-Downtown Phoenix,1,10822,28336,47700
Louisiana State University Health Sciences Center-Shreveport,1,.,.,96700
University of Phoenix-New Jersey,3,.,.,47100
Flagler College-Tallahassee,2,.,.,38900
American InterContinental University-Houston,3,14640,14640,37300
Northcentral University,3,.,.,.
Beis Medrash Heichal Dovid,2,9500,9500,.
College of Biblical Studies,2,12400,12400,32500
New College of Florida,1,6916,29944,.
College of Biblical Studies-Houston,2,6955,6955,39900
University of Connecticut-Stamford,1,13698,36066,58400
Linfield College-School of Nursing,2,.,.,55200
American InterContinental University-Atlanta,3,12070,12070,37300
Shasta Bible College and Graduate School,2,12060,12060,.
Charter Oak State College,1,8301,10854,38800
University of Phoenix-Washington,3,.,.,47100
Alaska Bible College,2,9600,9600,.
Ottawa University-Milwaukee,2,.,.,41500
University of Alabama at Birmingham,1,8568,19704,41200
Heritage Christian University,2,11232,11232,.
University of Arkansas for Medical Sciences,1,.,.,61000
Prescott College,2,31485,31485,33200
Central Baptist College,2,16200,16200,35300
Crowley's Ridge College,2,13600,13600,26000
Arizona Christian University,2,26796,26796,32200
Philander Smith College,2,13014,13014,24400
Hendrix College,2,45790,45790,39700
Southern Arkansas University Main Campus,1,8756,12866,35700
California Institute of Integral Studies,2,.,.,.
California College of the Arts,2,49138,49138,37200
California Lutheran University,2,42692,42692,54200
Claremont McKenna College,2,54405,54405,72900
Columbia College Hollywood,2,24495,24495,31400
California State University-San Bernardino,1,6922,18802,44500
Central State University,1,6346,8346,26100
Winston-Salem State University,1,5904,16151,33200
University of Akron Main Campus,1,11463,15500,36500
Dickinson State University,1,6768,9546,41700
Gods Bible School and College,2,7040,7040,22600
Cleveland Institute of Art,2,42055,42055,36600
Cleveland Institute of Music,2,41987,41987,40100
Miami University-Hamilton,1,5880,16472,47100
Mount Carmel College of Nursing,2,13907,13907,57700
Mount Saint Joseph University,2,30100,30100,41400
Columbus College of Art and Design,2,35420,35420,32200
University of Dayton,2,42900,42900,55100
Denison University,2,51960,51960,48800
Ohio Wesleyan University,2,45760,45760,45300
Otterbein University,2,31874,31874,43100
Union Institute & University,2,13256,13256,42400
Urbana University,2,23700,23700,35200
Southwestern Christian University,2,15080,15080,29300
The College of Wooster,2,50250,50250,46300
University of Oklahoma-Norman Campus,1,11538,26919,51100
DeSales University,2,37400,37400,49700
Southern Oregon University,1,9615,25545,39000
Eastern Oregon University,1,8679,20739,41200
Chatham University,2,37611,37611,36600
Dickinson College,2,54661,54661,57400
Hussian College-Philadelphia,3,21990,21990,34500
Indiana University of Pennsylvania-Main Campus,1,12979,18730,40800
Mansfield University of Pennsylvania,1,12330,22030,38600
Keystone College,2,26720,26720,33100
Pennsylvania State University-Penn State Wilkes-Barre,1,13586,21770,50100
Misericordia University,2,33240,33240,50400
Pennsylvania State University-Penn State Altoona,1,15198,24450,50100
Mount Aloysius College,2,23110,23110,40800
Pennsylvania State University-Penn State Harrisburg,1,15198,24450,50100
Lehigh University,2,52930,52930,81900
Temple University,1,16970,29066,50500
Saint Francis University,2,36410,36410,52200
Saint Joseph's University,2,44974,44974,59600
Lander University,1,11700,21300,34200
Voorhees College,2,12630,12630,24500
Wofford College,2,43985,43985,51500
Johnson University,2,16060,16060,29800
King University,2,29714,29714,43500
Baptist Memorial College of Health Sciences,2,11900,11900,57000
Belmont University,2,34310,34310,44100
Carson-Newman University,2,27900,27900,36000
Cumberland University,2,22890,22890,38700
Lipscomb University,2,32144,32144,43200
Northern State University,1,8497,11470,35300
South Dakota State University,1,8764,12128,44400
University of Sioux Falls,2,18280,18280,40100
Welch College,2,19012,19012,30100
Dallas Baptist University,2,28870,28870,43200
University of Dallas,2,40652,40652,47400
Midwestern State University,1,9233,11183,41100
The University of Texas Medical Branch at Galveston,1,.,.,77600
The University of Texas at Arlington,1,10496,26533,48700
Marymount University,2,31926,31926,53600
Virginia Commonwealth University,1,14493,35834,44000
Pacific Lutheran University,2,42436,42436,49400
Whitworth University,2,43640,43640,42100
Salem University,3,16700,16700,28900
Appalachian Bible College,2,14720,14720,26700
West Virginia State University,1,8212,17666,29800
West Virginia University Institute of Technology,1,7464,18648,45800
Beloit College,2,50040,50040,42400
Cardinal Stritch University,2,29998,29998,48500
University of Wisconsin-Whitewater,1,7692,16265,42600
University of Wisconsin-La Crosse,1,9107,17776,48000
Antioch University-Seattle,2,.,.,38200
University of Maine,1,11170,30970,42500
Purdue University Global-Lewiston,1,14343,14343,33900
College of the Atlantic,2,43542,43542,24600
Thomas College,2,26900,26900,38100
Saint Joseph Seminary College,2,18230,18230,.
Hood College,2,39492,39492,45300
St. John's College,2,53343,53343,36900
Towson University,1,9940,23208,50800
University of Maryland Baltimore,1,.,.,89700
McDaniel College,2,43260,43260,49700
University of Maryland-College Park,1,10595,35216,62900
Morgan State University,1,7900,18167,40500
Washington Adventist University,2,23900,23900,42600
Coppin State University,1,8873,15144,38100
Curry College,2,40070,40070,45900
University of Massachusetts-Lowell,1,15180,32827,53300
Bentley University,2,49880,49880,86900
University of Massachusetts-Amherst,1,15887,34570,51400
New England College of Optometry,2,.,.,97900
Springfield College,2,37444,37444,45100
Calvin University,2,34600,34600,44800
Stonehill College,2,42746,42746,60800
Concordia University-Ann Arbor,2,29290,29290,39100
Westfield State University,1,10429,16509,46100
Davenport University,2,18414,18414,30700
Worcester State University,1,10161,16241,48200
Northern Michigan University,1,10729,16225,35500
Kettering University,2,43490,43490,80500
Lake Superior State University,1,11895,11895,37700
Grace Christian University,2,13945,13945,28600
Minnesota State University-Mankato,1,8184,16235,44900
Concordia College at Moorhead,2,39878,39878,44500
Finlandia University,2,22758,22758,32400
University of Minnesota-Twin Cities,1,14760,30438,51900
University of Minnesota-Duluth,1,13366,18484,47200
Western Michigan University,1,12483,15373,45000
Delta State University,1,7246,7246,33700
Southeastern Baptist College,2,6025,6025,.
Conception Seminary College,2,22379,22379,.
Lincoln University,1,7632,14172,31400
Tougaloo College,2,10600,10600,27500
Logan University,2,6800,6800,45400
Maryville University of Saint Louis,2,28470,28470,47200
Florida Memorial University,2,15536,15536,27600
Trinity International University-Florida,2,13680,13680,41100
Florida Southern College,2,36348,36348,41400
University of Miami,2,50226,50226,60100
University of Florida,1,6381,28659,56000
Hobe Sound Bible College,2,6595,6595,.
Trinity Baptist College,2,12140,12140,33600
Rollins College,2,49760,49760,45700
North Park University,2,29860,29860,43700
Benedictine University,2,34290,34290,49000
Northern Illinois University,1,14617,14617,45500
Lincoln College,2,18600,18600,30900
Illinois Wesleyan University,2,47636,47636,59100
Northeastern Illinois University,1,11218,20726,37900
Principia College,2,29470,29470,.
Dominican University,2,33434,33434,47100
Indiana Institute of Technology,2,26900,26900,42700
Clarke University,2,33350,33350,41300
University of Saint Francis-Fort Wayne,2,30430,30430,40400
Saint Mary's College,2,42220,42220,46200
Indiana University-Northwest,1,7344,19400,36300
Indiana University-Southeast,1,7344,19400,37900
Drake University,2,41396,41396,58300
Valparaiso University,2,40260,40260,48500
Faith Baptist Bible College and Theological Seminary,2,16876,16876,35400
Graceland University-Lamoni,2,29240,29240,36200
Purdue University Global-Mason City,1,14343,14343,33900
Marian University,2,34000,34000,43300
Martin University,2,13200,13200,24700
Bethel College-North Newton,2,28540,28540,40800
Simpson College,2,39144,39144,47500
Upper Iowa University,2,30450,30450,42900
Barclay College,2,19000,19000,33900
Friends University,2,28415,28415,41800
William Penn University,2,25600,25600,42100
Mount Mercy University,2,31998,31998,45300
Tabor College,2,28260,28260,40800
Kentucky Wesleyan College,2,26160,26160,36700
Ottawa University-Kansas City,2,.,.,41500
Bellarmine University,2,42200,42200,45700
Southwestern College,2,30150,30150,46400
University of Louisville,1,11656,27278,41800
Grambling State University,1,7435,16458,28100
Morehead State University,1,9070,13546,33100
Louisiana State University Health Sciences Center-New Orleans,1,.,.,68800
Louisiana State University-Shreveport,1,7327,20481,35700
Loyola University New Orleans,2,39942,39942,47100
Southern University at New Orleans,1,7033,15934,28600
University of Louisiana at Monroe,1,8554,20654,37500
Chestnut Hill College,2,36180,36180,43600
Curtis Institute of Music,2,2900,2900,.
Marywood University,2,34910,34910,39600
Kutztown University of Pennsylvania,1,10802,22626,41600
Messiah University,2,35160,35160,45100
Pennsylvania State University-Penn State Lehigh Valley,1,14468,23028,50100
Lancaster Bible College,2,25270,25270,34300
Pennsylvania State University-Penn State Fayette- Eberly,1,13702,21886,50100
Lock Haven University,1,10878,20702,41500
Pennsylvania State University-Penn State Greater Allegheny,1,13702,21886,50100
Pennsylvania State University-Penn State Schuylkill,1,14468,23028,50100
Pennsylvania State University-Penn State York,1,14468,23028,50100
Peirce College,2,15060,15060,46500
Pennsylvania College of Art and Design,2,25850,25850,28400
Thomas Jefferson University,2,40651,40651,80300
University of Pittsburgh-Bradford,1,13900,25144,53900
University of Scranton,2,44532,44532,57500
University of Pittsburgh-Pittsburgh Campus,1,19080,32052,53900
Shippensburg University of Pennsylvania,1,12718,20760,45000
Wilson College,2,24595,24595,33100
Southern Wesleyan University,2,25476,25476,39200
Presbyterian College,2,38660,38660,44500
Northpoint Bible College,2,12380,12380,30300
Furman University,2,49532,49532,51200
University of South Carolina-Columbia,1,12616,33298,44900
South Carolina State University,1,11060,21750,29800
Augustana University,2,33018,33018,43700
Black Hills State University,1,8733,11778,35900
Bryan College-Dayton,2,26800,26800,41300
Lee University,2,17690,17690,34200
National American University-Sioux Falls,3,15000,15000,34500
The University of Tennessee-Chattanooga,1,8664,24782,38100
The University of Tennessee-Knoxville,1,13006,31426,45100
Austin College,2,39960,39960,48200
Tusculum University,2,24860,24860,38300
Vanderbilt University,2,49816,49816,69000
The University of the South,2,45120,45120,45500
Miami International University of Art & Design-Art Institute Dallas,3,17568,17568,33400
Platt College-Aurora,3,19286,19286,29400
Yeshiva Gedolah of Greater Detroit,2,6800,6800,.
Brandman University,2,12380,12380,.
Yeshiva Gedolah Imrei Yosef D'spinka,2,9500,9500,13800
Arizona State University-West,1,9840,25576,47700
St. Mary's University,2,30650,30650,46600
The University of Texas at El Paso,1,8198,22629,40000
Southwestern University,2,42000,42000,54000
Texas State University,1,10280,21900,45700
Prairie View A & M University,1,10533,24843,35700
Texas Southern University,1,9173,21623,31300
Tarleton State University,1,7292,17252,42500
Goddard College,2,16586,16586,25400
Northern Vermont University,1,12074,25394,33200
Marlboro College,2,40840,40840,27600
Middlebury College,2,54450,54450,58200
Saint Michael's College,2,45375,45375,50800
Averett University,2,34520,34520,41800
Stevens-Henager College,2,16972,16972,28800
Bennington College,2,53860,53860,29500
Longwood University,1,13340,29300,41500
Bon Secours Memorial College of Nursing,2,.,.,61100
University of Lynchburg,2,39530,39530,43600
Roanoke College,2,44155,44155,44700
Eastern Mennonite University,2,37110,37110,40300
Ferrum College,2,34175,34175,37300
George Mason University,1,12462,35922,59900
Hampden-Sydney College,2,45746,45746,52200
James Madison University,1,12016,28416,56600
University of Virginia-Main Campus,1,17653,49032,61200
Virginia Wesleyan University,2,36660,36660,40700
Gonzaga University,2,43210,43210,56100
Walla Walla University,2,28035,28035,46400
Washington State University,1,11584,25820,50600
Northwest University,2,31540,31540,41300
Carthage College,2,43550,43550,44700
Concordia University-Wisconsin,2,29450,29450,42800
Southern New Hampshire University,2,31136,31136,45400
Plymouth State University,1,14099,22769,41700
Montclair State University,1,12790,20578,49600
Fairleigh Dickinson University-Metropolitan Campus,2,40732,40732,48100
Georgian Court University,2,32976,32976,44400
Caldwell University,2,34715,34715,44400
New Jersey City University,1,12052,21574,42700
Rabbinical College of America,2,11500,11500,25600
Rider University,2,42860,42860,50600
Rutgers University-New Brunswick,1,14974,31282,57900
CUNY Brooklyn College,1,7240,14910,43900
CUNY Graduate School and University Center,1,.,.,56600
CUNY John Jay College of Criminal Justice,1,7270,14940,44900
Hartwick College,2,45510,45510,45800
Mesivtha Tifereth Jerusalem of America,2,11500,11500,.
Hobart William Smith Colleges,2,55255,55255,53500
Manhattanville College,2,38820,38820,45600
Mount Saint Mary College,2,31118,31118,51600
Marist College,2,39600,39600,56900
Skidmore College,2,54420,54420,49700
Saint John Fisher College,2,34310,34310,47800
University of Rochester,2,53909,53909,61200
St John's University-New York,2,41760,41760,55200
St Francis College,2,26188,26188,45700
Pace University,2,45280,45280,60300
St Lawrence University,2,54846,54846,50100
Union College,2,55290,55290,65400
Appalachian State University,1,7364,22171,38800
University of Jamestown,2,21976,21976,43800
Lake Erie College,2,31422,31422,36200
The University of Findlay,2,34360,34360,43200
Franklin University,2,12649,12649,48500
Ursuline College,2,32390,32390,47800
Shawnee State University,1,8556,14714,34200
Ohio State University-Main Campus,1,10726,30742,46100
Langston University,1,6226,13586,27700
Northeastern State University,1,6650,14720,35800
Wright State University-Lake Campus,1,6194,15338,39500
Northwestern Oklahoma State University,1,7471,14558,36400
Oklahoma Baptist University,2,28258,28258,40500
Allegheny College,2,47540,47540,50900
Bryn Mawr College,2,52360,52360,54600
Western Oregon University,1,10197,26421,39700
Lewis & Clark College,2,50934,50934,46200
National University of Natural Medicine,2,.,.,.
Northwest Christian University,2,30050,30050,43100
Oregon Health & Science University,1,.,.,89000
Oregon Institute of Technology,1,10118,28668,56600
Oregon College of Art and Craft,2,34850,34850,25100
Pacific Northwest College of Art,2,38250,38250,27400
Geneva College,2,27230,27230,38700
Duquesne University,2,38178,38178,58500
Carnegie Mellon University,2,55465,55465,83600
Eastern University,2,32947,32947,42500
Edinboro University of Pennsylvania,1,10574,14622,35400
Saint Louis Christian College,2,11560,11560,27300
Carroll College,2,35486,35486,45900
University of Missouri-St Louis,1,9792,26040,42900
Southwest Baptist University,2,24078,24078,33700
Montana State University Billings,1,5928,19246,34600
Saint Luke's College of Health Sciences,2,.,.,62300
Ozark Christian College,2,12620,12620,30500
Missouri State University-Springfield,1,7376,15326,39300
Montana Technological University,1,7412,22575,41700
Research College of Nursing,3,.,.,70700
Rockhurst University,2,37590,37590,50800
The University of Montana,1,7244,24959,35500
Saint Louis University,2,43884,43884,56500
Westminster College,2,27600,27600,42700
Dartmouth College,2,55453,55453,75500
Doane University,2,33800,33800,44300
Wayne State College,1,7172,12602,36100
New England College,2,37914,37914,37900
University of Nevada-Reno,1,7599,22236,47000
Midland University,2,32598,32598,39900
Nebraska Christian College of Hope International University,2,17665,17665,29200
Purdue University Global-Omaha,1,14343,14343,33900
Nebraska Wesleyan University,2,34202,34202,46000
Saint Anselm College,2,41200,41200,58300
Adelphi University,2,38740,38740,58500
Beth Hamedrash Shaarei Yosher Institute,2,9350,9350,.
CUNY Medgar Evers College,1,7152,14822,35900
Mid-America Christian University,2,19604,19604,37700
Northwest College of Art & Design,3,20600,20600,30600
Mt Sierra College,3,15588,15588,41600
Watkins College of Art Design & Film,2,24450,24450,36500
Everglades University,2,17600,17600,42100
Southwest University of Visual Arts-Albuquerque,3,22613,22613,30200
Johnson & Wales University-North Miami,2,32441,32441,38800
Anderson University,2,28000,28000,35200
Yeshivath Beth Moshe,2,9400,9400,.
York College of Pennsylvania,2,20100,20100,50400
Brown University,2,55466,55466,67500
College of Charleston,1,12838,32020,40700
Claflin University,2,16854,16854,28500
Rhode Island College,1,8929,21692,41400
Morris College,2,13886,13886,23600
Rhode Island School of Design,2,50960,50960,51100
Salve Regina University,2,40150,40150,53500
Christian Brothers University,2,32820,32820,44200
Maryville College,2,34880,34880,39000
Lubbock Christian University,2,22440,22440,41800
Houston Baptist University,2,32530,32530,45800
University of St Thomas,2,33580,33580,49600
Texas A & M University-College Station,1,11870,37495,58000
University of North Texas,1,10852,20812,45000
Southern Methodist University,2,54492,54492,60700
Paul Quinn College,2,8920,8920,27700
Texas Wesleyan University,2,30300,30300,42000
Texas Woman's University,1,7796,17756,44700
The University of Texas Health Science Center at Houston,1,.,.,90300
Southern Vermont College,2,25511,25511,34200
Wayland Baptist University,2,20070,20070,41300
Southern Utah University,1,6770,20586,39800
Jewish Theological Seminary of America,2,56778,56778,.
The Juilliard School,2,45110,45110,32800
Davis College,2,17150,17150,31900
Rabbinical College Bobover Yeshiva Bnei Zion,2,7750,7750,15600
New York University,2,51828,51828,61900
Rabbinical Seminary of America,2,9800,9800,.
Niagara University,2,33180,33180,42800
Rochester Institute of Technology,2,42345,42345,62400
New York School of Interior Design,2,24834,24834,52200
St. Thomas Aquinas College,2,31950,31950,46900
SUNY College of Agriculture and Technology at Cobleskill,1,8654,18434,35000
Torah Temimah Talmudical Seminary,2,11050,11050,.
Excelsior College,2,.,.,.
Campbell University,2,32500,32500,45900
SUNY Buffalo State,1,8210,17990,39800
SUNY Cortland,1,8536,18316,47000
State University of New York at New Paltz,1,8254,18034,45000
SUNY College at Potsdam,1,8462,18242,39700
SUNY at Purchase College,1,8698,18478,35200
SUNY College at Plattsburgh,1,8369,18149,42400
Syracuse University,2,51853,51853,62100
Talmudical Institute of Upstate New York,2,6150,6150,.
University of North Carolina at Chapel Hill,1,8987,35170,55600
North Carolina Wesleyan College,2,30750,30750,38600
Meredith College,2,37176,37176,39500
University of Mount Olive,2,20600,20600,39500
Guilford College,2,37120,37120,36400
Shaw University,2,16480,16480,29200
Minot State University,1,7064,7064,41200
Southeastern Baptist Theological Seminary,2,9394,9394,.
University of North Dakota,1,8695,20759,48700
Concord University,1,8211,17655,32300
West Virginia Wesleyan College,2,31640,31640,43600
Lakeland University,2,28870,28870,42800
Alverno College,2,28302,28302,38800
Marian University,2,27400,27400,41700
Ohio Valley University,2,21900,21900,37200
Milwaukee Institute of Art & Design,2,37360,37360,33300
Mount Mary University,2,30100,30100,40000
University of Wisconsin-Superior,1,8126,15699,36700
University of Wisconsin-Milwaukee,1,9588,20867,44200
Saint Norbert College,2,38129,38129,46400
Holy Family College,2,28390,28390,37600
University of Wisconsin-Stevens Point,1,8239,16506,40200
Purdue University-Main Campus,1,9992,28794,55100
Purdue University Global-Cedar Falls,1,14343,14343,33900
Rutgers University-Newark,1,14409,30717,57900
Albany College of Pharmacy and Health Sciences,2,35105,35105,124700
Stockton University,1,13739,20866,47500
Talmudical Academy-New Jersey,2,13700,13700,.
Thomas Edison State University,1,7519,9967,49600
New Mexico State University-Main Campus,1,6686,21770,34600
Colgate University,2,55870,55870,63600
Boricua College,2,11025,11025,32800
Columbia University in the City of New York,2,59430,59430,83300
D'Youville College,2,26750,26750,46400
Elmira College,2,41900,41900,45900
Mercy College,2,19042,19042,39700
Le Moyne College,2,34625,34625,49600
Hofstra University,2,45700,45700,53100
Houghton College,2,32488,32488,37400
Manhattan College,2,42608,42608,65000
College of Mount Saint Vincent,2,38180,38180,54400
Vassar College,2,56960,56960,54600
Wells College,2,40700,40700,35100
SUNY at Albany,1,10011,26851,51500
Binghamton University,1,9808,26648,61600
Bennett College,2,18513,18513,30600
Brevard College,2,28640,28640,31600
SUNY College of Environmental Science and Forestry,1,8874,18654,45600
University of North Carolina at Charlotte,1,6853,20287,44000
Johnson C Smith University,2,18236,18236,28400
Chowan University,2,24980,24980,34300
North Carolina State University at Raleigh,1,9101,28444,52500
Mars Hill University,2,32968,32968,31500
Duke University,2,55695,55695,84400
Pfeiffer University,2,30234,30234,39200
Methodist University,2,33852,33852,39300
Elon University,2,35319,35319,51900
Fayetteville State University,1,5249,16857,31200
Mayville State University,1,6666,9399,39300
Bob Jones University,2,18150,18150,.
Moody Bible Institute,2,13056,13056,.
