instnm,control,tuitionfee_in,tuitionfee_out,md_earn_wne_p10
Boston Baptist College,2,12600,12600,33600
Bay State College,3,22320,22320,32100
Massachusetts College of Art and Design,1,13200,36400,36200
Harvard University,2,50420,50420,89700
Hellenic College-Holy Cross Greek Orthodox School of Theology,2,22490,22490,.
College of the Holy Cross,2,52770,52770,71000
Bridgewater State University,1,10367,16507,45300
Cambridge College,2,15588,15588,38100
Montserrat College of Art,2,33400,33400,26500
Saint John's Seminary,2,24915,24915,.
Alma College,2,40258,40258,42200
The New England Conservatory of Music,2,48750,48750,32100
University of Massachusetts-Dartmouth,1,13921,29141,48200
University of Bridgeport,2,33055,33055,43100
Barry University,2,30014,30014,45800
Wesleyan University,2,54944,54944,54700
Yale University,2,53430,53430,83200
Florida Institute of Technology,2,41850,41850,56600
Luther Rice College & Seminary,2,7616,7616,44800
Ringling College of Art and Design,2,46420,46420,33200
Clayton  State University,1,5419,15880,38800
University of South Florida-Main Campus,1,6410,17324,43500
Southeastern University,2,25870,25870,34800
Talmudic College of Florida,2,13250,13250,.
Georgia College & State University,1,9346,28060,40500
Young Harris College,2,29067,29067,37900
Georgia Southern University,1,6356,17142,41900
University of Hawaii at Manoa,1,11970,34002,45800
Hawaii Pacific University,2,25980,25980,49900
Savannah College of Art and Design,2,37130,37130,36400
University of Hawaii-West Oahu,1,7512,20472,38600
Thomas University,2,16940,16940,34300
Truett McConnell University,2,20230,20230,32600
Valdosta State University,1,6410,17196,38700
LaGrange College,2,30500,30500,39600
Mercer University,2,36894,36894,48200
Concordia University-Chicago,2,32078,32078,39700
The College of Idaho,2,30155,30155,40000
Northwest Nazarene University,2,29800,29800,39600
American Islamic College,2,.,.,.
Columbia College Chicago,2,27176,27176,34400
Blessing Rieman College of Nursing and Health Sciences,2,.,.,48200
Lake Forest College,2,47064,47064,50900
Hebrew Theological College,2,12920,12920,21100
Lincoln Christian University,2,13200,13200,30900
Northwestern University,2,54568,54568,69000
Illinois College,2,33090,33090,42800
Grace College and Theological Seminary,2,24768,24768,34900
Wheaton College,2,36420,36420,48400
University of Illinois at Springfield,1,11813,21338,44600
Southern Illinois University-Edwardsville,1,12132,12132,43000
University of Evansville,2,36416,36416,41800
Franklin College,2,32010,32010,44100
Trinity International University-Illinois,2,32390,32390,41100
Buena Vista University,2,34004,34004,40000
Indiana State University,1,9090,19836,39000
Coe College,2,44050,44050,46200
Indiana University-Bloomington,1,10681,35456,47700
California Baptist University,2,33478,33478,42600
California Institute of the Arts,2,49276,49276,37900
San Diego Christian College,2,31404,31404,36700
California State University-Dominguez Hills,1,6942,18822,44700
California State University-East Bay,1,6983,18863,51700
California State University-Sacramento,1,7310,19190,48900
University of California-Davis,1,14402,43394,58200
University of California-Riverside,1,13827,42819,49700
University of California-Santa Cruz,1,13960,42952,46900
Life Pacific University,2,15654,15654,32700
La Sierra University,2,32778,32778,49500
The Master's University and Seminary,2,25390,25390,41700
San Francisco State University,1,7260,19140,49200
Notre Dame de Namur University,2,35350,35350,56400
Occidental College,2,54686,54686,50600
University of Redlands,2,49504,49504,55000
Hope International University,2,33400,33400,36000
Santa Clara University,2,51711,51711,72600
Pitzer College,2,54056,54056,48700
San Francisco Art Institute,2,46534,46534,31900
Saint Mary's College of California,2,47280,47280,56300
Vanguard University of Southern California,2,33720,33720,41800
University of Colorado Boulder,1,12532,37286,50800
Westmont College,2,45304,45304,51400
Woodbury University,2,39790,39790,48200
Colorado Technical University-Colorado Springs,3,11960,11960,42200
Western Colorado University,1,10114,21586,39000
Muhlenberg College,2,52595,52595,59400
Neumann University,2,31400,31400,44300
Pennsylvania State University-Penn State Hazleton,1,14468,23028,50100
University of Pittsburgh-Greensburg,1,13890,25134,53900
University of Valley Forge,2,21341,21341,31100
Slippery Rock University of Pennsylvania,1,10757,14615,41700
Point Park University,2,31450,31450,37100
Susquehanna University,2,47290,47290,54100
Widener University,2,45948,45948,53400
Limestone College,2,25025,25025,37400
Charleston Southern University,2,25540,25540,36900
Bryant University,2,43973,43973,69300
Johnson & Wales University-Providence,2,32441,32441,38800
Medical University of South Carolina,1,.,.,83700
University of South Carolina-Upstate,1,11852,23520,36900
Freed-Hardeman University,2,21950,21950,37100
Lane College,2,11500,11500,25400
Dakota State University,1,9276,12249,38700
Mount Marty College,2,27276,27276,36600
The University of Tennessee-Martin,1,9512,15552,36200
The Art Institute of Houston,3,17568,17568,34100
Tennessee State University,1,8792,21512,35300
Texas A&M University-Texarkana,1,7363,19392,35900
Jarvis Christian College,2,11720,11720,25800
Texas A & M International University,1,7176,18064,45800
University of Houston-Downtown,1,6500,16460,45000
University of Houston-Victoria,1,6491,16451,41800
Howard Payne University,2,28090,28090,37600
Huston-Tillotson University,2,14346,14346,30800
Saint Edward's University,2,45428,45428,46500
Texas A & M University-Kingsville,1,8922,23899,42600
The University of Texas at Tyler,1,8292,21282,44200
Southwestern Assemblies of God University,2,19582,19582,35700
Sentara College of Health Sciences,2,.,.,55200
American Academy of Art,2,34270,34270,31100
Eureka College,2,25390,25390,36000
Augustana College,2,42135,42135,52000
University of Illinois at Urbana-Champaign,1,15094,31664,61500
Millikin University,2,35002,35002,42900
Monmouth College,2,37674,37674,41500
Quincy University,2,28562,28562,39500
Knox College,2,46554,46554,39700
Roosevelt University,2,29832,29832,43600
Rush University,2,.,.,85900
Saint Mary-of-the-Woods College,2,29960,29960,32300
Divine Word College,2,13160,13160,.
Trine University,2,32176,32176,43300
Northwestern College,2,31100,31100,38400
Bethany College,2,27850,27850,40200
Palmer College of Chiropractic,2,9225,9225,41200
Wartburg College,2,41280,41280,45400
Luther College,2,42290,42290,47400
Maharishi University of Management,2,16530,16530,21400
Mercy College of Health Sciences,2,17952,17952,47000
Morningside College,2,31530,31530,43700
Sterling College,2,26000,26000,35700
University of Kansas,1,11148,27358,48800
Kansas Wesleyan University,2,29500,29500,40300
McPherson College,2,28951,28951,39300
Ottawa University-Ottawa,2,30050,30050,41500
Pittsburg State University,1,7298,18642,39400
Clear Creek Baptist Bible College,2,9440,9440,26300
University of the Cumberlands,2,23000,23000,35100
Centenary College of Louisiana,2,36580,36580,44900
Xavier University of Louisiana,2,24348,24348,49800
Bates College,2,53794,53794,59200
University of Southern Maine,1,8918,21294,38700
Bowdoin College,2,53922,53922,65500
Oregon State University,1,11166,30141,49600
Pacific University,2,44298,44298,46600
Cabrini University,2,31920,31920,46600
East Stroudsburg University of Pennsylvania,1,11502,24184,44600
Cedar Crest College,2,39216,39216,46700
Gwynedd Mercy University,2,33600,33600,54300
Cheyney University of Pennsylvania,1,10533,15799,29400
Moore College of Art and Design,2,41424,41424,33300
Lincoln University,1,11036,16952,34600
Pennsylvania State University-Penn State Mont Alto,1,13702,21886,50100
Lycoming College,2,40315,40315,45700
Robert Morris University,2,30300,30300,47700
University of Pennsylvania,2,55584,55584,85900
The University of the Arts,2,44930,44930,32600
University of the Sciences,2,25000,25000,91600
Saint Vincent College,2,35462,35462,47600
Providence College,2,50528,50528,64100
Clemson University,1,15374,37128,52400
Columbia International University,2,23690,23690,29900
Roger Williams University,2,34522,34522,50500
Erskine College,2,36150,36150,37400
University of South Carolina Aiken,1,10760,21218,37100
Hiwassee College,2,19571,19571,30300
American Baptist College,2,10074,10074,.
Austin Peay State University,1,8159,23399,34900
Bethel University,2,16552,16552,38600
Memphis College of Art,2,.,.,27100
University of Memphis,1,9317,21029,37400
Presentation College,2,20375,20375,34700
East Tennessee State University,1,8935,27199,35100
Middle Tennessee State University,1,8858,27098,38700
Amberton University,2,.,.,.
Trevecca Nazarene University,2,25598,25598,40500
Abilene Christian University,2,34850,34850,43000
Baylor University,2,45542,45542,51600
Kuyper College,2,21989,21989,28600
Saginaw Valley State University,1,10308,24215,39300
Great Lakes Christian College,2,17220,17220,29400
Hope College,2,34010,34010,46200
Rochester University,2,23282,23282,35300
University of Michigan-Dearborn,1,12930,25158,48600
Siena Heights University,2,27124,27124,42000
Minneapolis College of Art and Design,2,39120,39120,35400
Herzing University-Minneapolis,2,14000,14000,37800
University of Mississippi,1,8660,24614,42700
Missouri University of Science and Technology,1,9440,26461,71200
Southeast Missouri State University,1,7418,13155,37000
Park University,2,11572,11572,45900
Stevens-The Institute of Business & Arts,3,12960,12960,24800
Montana State University,1,7277,24993,43200
Washington University in St Louis,2,53399,53399,70100
Webster University,2,27900,27900,42300
William Woods University,2,24110,24110,36500
Peru State College,1,7512,7512,37500
College of Saint Mary,2,20350,20350,41200
Concordia University-Nebraska,2,32220,32220,40100
Magdalen College,2,24000,24000,.
Hastings College,2,30050,30050,44400
The Art Institute of Las Vegas,3,17316,17316,29400
University of Nevada-Las Vegas,1,7985,23132,45000
Nebraska Methodist College of Nursing & Allied Health,2,16308,16308,48700
Rivier University,2,32140,32140,45400
University of Nebraska at Omaha,1,7790,20764,44200
University of Nebraska-Lincoln,1,9242,25038,46400
Granite State College,1,7761,8745,35400
Beth Medrash Govoha,2,.,.,25300
Barton College,2,30880,30880,38100
Belmont Abbey College,2,18500,18500,38200
Stony Brook University,1,9625,27295,57600
SUNY College at Brockport,1,8412,18192,42600
SUNY College at Geneseo,1,8651,18431,48800
SUNY College at Oswego,1,8440,18220,43900
SUNY College at Old Westbury,1,8143,17923,44300
SUNY Empire State College,1,7405,17185,41400
SUNY Maritime College,1,8283,18063,82800
Upstate Medical University,1,.,.,76400
Talmudical Seminary Oholei Torah,2,9800,9800,19900
Heritage Bible College,2,8328,8328,.
North Carolina Central University,1,6464,19171,32900
University of North Carolina at Pembroke,1,3418,7418,34400
East Carolina University,1,7188,23465,40500
Elizabeth City State University,1,3194,7194,30400
