UNITID,INSTNM,STABBR,LONGITUD,LATITUDE
371928,Modern Technology School,CA,-117.918837,33.723142
371964,National Career Education,CA,-121.273917,38.679835
372028,North-West College-Glendale,CA,-118.255462,34.148981
372073,Fremont College,CA,-118.097019,33.868382
372082,Pomona Unified School District Adult and Career Education,CA,-117.772606,34.054864
372240,Universal College of Beauty Inc-Los Angeles 2,CA,-118.332236,34.004498
377722,Bellus Academy-Poway,CA,-117.042531,32.957184
377759,Capstone College,CA,-118.149478,34.165741
378105,Central Coast College,CA,-121.655643,36.669595
378576,Pacific College of Oriental Medicine-San Diego,CA,-117.16073,32.778391
381255,CET-Coachella,CA,-116.185875,33.692248
381282,CET-Oxnard,CA,-119.18145,34.194208
381325,CET-Santa Maria,CA,-120.441978,34.943576
382258,Mt. Diablo Adult Education-Mt. Diablo USD,CA,-122.026805,37.968852
382267,Royale College of Beauty and Barbering,CA,-117.164541,33.515476
383084,Hacienda La Puente Adult Education,CA,-117.979559,34.044112
384236,United Education Institute-Ontario,CA,-117.547733,34.0694
384245,United Education Institute-Encino,CA,-118.50213,34.170205
384306,Acupuncture and Integrative Medicine College-Berkeley,CA,-122.267636,37.862754
393524,Alhambra Beauty College,CA,-118.129041,34.093916
393649,UEI College-Gardena,CA,-118.287234,33.893016
393861,Asian-American International Beauty College,CA,-117.991643,33.759524
395362,Copper Mountain Community College,CA,-116.213939,34.140464
395690,Diversified Vocational College,CA,-118.272364,34.056102
397942,UEI College-Fresno,CA,-119.789002,36.782858
398130,Mt Sierra College,CA,-117.987321,34.142704
399212,Santiago Canyon College,CA,-117.766762,33.795449
399869,Southern California Institute of Technology,CA,-117.950661,33.8381
399911,Soka University of America,CA,-117.735344,33.554546
400080,Summit College,CA,-117.304456,34.056313
400187,Advance Beauty College,CA,-117.952637,33.759905
400558,Los Angeles Pacific College,CA,-118.295037,34.062282
401223,World Mission University,CA,-118.289484,34.064918
401250,Yo San University of Traditional Chinese Medicine,CA,-118.442756,33.993287
409698,California State University-Monterey Bay,CA,-121.796178,36.652397
411684,Marian Health Careers Center-Los Angeles Campus,CA,-118.295073,34.062096
413680,Spartan College of Aeronautics & Technology,CA,-118.377744,33.956018
413802,East San Gabriel Valley Regional Occupational Program,CA,-117.937116,34.076805
416458,Premiere Career College,CA,-117.990894,34.079755
417062,Estes Institute of Cosmetology Arts and Science,CA,-119.289234,36.330422
417105,Baldwin Park Adult & Community Education,CA,-117.959486,34.09673
417123,Ventura Adult and Continuing Education,CA,-119.219561,34.256061
419183,Central California School of Continuing Education,CA,-120.64847,35.262091
420608,Colleen O'Haras Beauty Academy,CA,-117.868136,33.748189000000004
422190,Champion Institute of Cosmetology,CA,-116.545916,33.813346
422695,Pacific College,CA,-117.873382,33.680043
422835,American College of Healthcare and Technology,CA,-117.493507,33.901581
428125,John Wesley International Barber and Beauty College,CA,-118.192659,33.775812
428426,San Bernardino Community College District,CA,-117.251666,34.100347
431141,Institute of Technology,CA,-119.723249,36.83679
431956,Virginia Sewing Machines and School Center,CA,-118.22486,33.9827
432144,South Orange County Community College District,CA,-117.665584,33.553346
432384,Platt College-Ontario,CA,-117.571744,34.068595
433004,American University of Health Sciences,CA,-118.171366,33.796849
433013,Career Networks Institute,CA,-117.8478,33.721058
433420,California Aeronautical University,CA,-119.049264,35.434905
434140,Pima Medical Institute-Chula Vista,CA,-117.093388,32.619858
436429,Los Angeles Film School,CA,-118.328298,34.098284
437750,Professional Golfers Career College,CA,-117.163739,33.528952
437936,Carrington College-San Jose,CA,-121.777062,37.248411
438258,Carrington College-Pleasant Hill,CA,-122.072153,37.962649
438504,Universal Technical Institute of California Inc,CA,-117.576366,34.082782
438665,Rancho Santiago Community College District Office,CA,-117.868261,33.767331
439367,CBD College,CA,-118.306221,34.06231
439747,My Le's Beauty College,CA,-121.452325,38.494851
439871,PCI College,CA,-118.100169,33.87475
440031,Keck Graduate Institute,CA,-117.72351,34.093329
440819,Miami Ad School-San Francisco,CA,-122.401198,37.795155
